"","marker","patient_id","group","Expression","signif","marker_title"
"263","CD47","RPs154B","MP",2.12400851098827,"***","CD47 ***"
"264","CD47","RPs154B","RP",2.96307144290149,"***","CD47 ***"
"265","CD61","RPs137B","MP",1.89082588529239,"***","CD61 ***"
"266","CD61","RPs137B","RP",2.52383232424836,"***","CD61 ***"
"267","CD61","RPs138B","MP",2.4355146818285,"***","CD61 ***"
"268","CD61","RPs138B","RP",3.24612819678141,"***","CD61 ***"
"269","CD61","RPs139B","MP",1.95780930390162,"***","CD61 ***"
"270","CD61","RPs139B","RP",2.68459645115898,"***","CD61 ***"
"271","CD61","RPs144B","MP",2.37277516898846,"***","CD61 ***"
"272","CD61","RPs144B","RP",3.1197873398304,"***","CD61 ***"
"273","CD61","RPs097B","MP",1.39337099949903,"***","CD61 ***"
"274","CD61","RPs097B","RP",2.03399714783172,"***","CD61 ***"
"275","CD61","RPs098B","MP",2.54267789913157,"***","CD61 ***"
"276","CD61","RPs098B","RP",3.28337979469331,"***","CD61 ***"
"277","CD61","RPs103B","MP",1.95662725752486,"***","CD61 ***"
"278","CD61","RPs103B","RP",2.56941439180637,"***","CD61 ***"
"279","CD61","RPS111B","MP",1.39743395009965,"***","CD61 ***"
"280","CD61","RPS111B","RP",2.15717901041399,"***","CD61 ***"
"281","CD61","RPS136B","MP",2.55536863955051,"***","CD61 ***"
"282","CD61","RPS136B","RP",3.26988547963434,"***","CD61 ***"
"283","CD61","RPs150B","MP",1.67952436712505,"***","CD61 ***"
"284","CD61","RPs150B","RP",2.3973797953009,"***","CD61 ***"
"285","CD61","RPs154B","MP",2.03551535918479,"***","CD61 ***"
"286","CD61","RPs154B","RP",2.81013124520759,"***","CD61 ***"
"287","CD62P","RPs137B","MP",0.273161164714093,"***","CD62P ***"
"288","CD62P","RPs137B","RP",0.632066163882873,"***","CD62P ***"
"289","CD62P","RPs138B","MP",0.13646170949931,"***","CD62P ***"
"290","CD62P","RPs138B","RP",0.395738744722159,"***","CD62P ***"
"291","CD62P","RPs139B","MP",0.130465225328636,"***","CD62P ***"
"292","CD62P","RPs139B","RP",0.469245962768752,"***","CD62P ***"
"293","CD62P","RPs144B","MP",0.264150318601776,"***","CD62P ***"
"294","CD62P","RPs144B","RP",0.623127799449913,"***","CD62P ***"
"295","CD62P","RPs097B","MP",0.0668399947888833,"***","CD62P ***"
"296","CD62P","RPs097B","RP",0.384599239237316,"***","CD62P ***"
"297","CD62P","RPs098B","MP",0.890884050868582,"***","CD62P ***"
"298","CD62P","RPs098B","RP",1.59373897981592,"***","CD62P ***"
"299","CD62P","RPs103B","MP",0.460549798514269,"***","CD62P ***"
"300","CD62P","RPs103B","RP",1.19120564918632,"***","CD62P ***"
"301","CD62P","RPS111B","MP",0.210900603095576,"***","CD62P ***"
"302","CD62P","RPS111B","RP",0.77712280966544,"***","CD62P ***"
"303","CD62P","RPS136B","MP",0.197122024705927,"***","CD62P ***"
"304","CD62P","RPS136B","RP",0.46496710705773,"***","CD62P ***"
"305","CD62P","RPs150B","MP",0,"***","CD62P ***"
"306","CD62P","RPs150B","RP",0.1591487352726,"***","CD62P ***"
"307","CD62P","RPs154B","MP",0.0922629310967329,"***","CD62P ***"
"308","CD62P","RPs154B","RP",0.393589257430016,"***","CD62P ***"
"309","CD63","RPs137B","MP",0.147505691514042,"***","CD63 ***"
"310","CD63","RPs137B","RP",0.42249352295167,"***","CD63 ***"
"311","CD63","RPs138B","MP",0.178781880660761,"***","CD63 ***"
"312","CD63","RPs138B","RP",0.563846691503223,"***","CD63 ***"
"313","CD63","RPs139B","MP",0.102067008389038,"***","CD63 ***"
"314","CD63","RPs139B","RP",0.429026516030061,"***","CD63 ***"
"315","CD63","RPs144B","MP",0.205564886559382,"***","CD63 ***"
"316","CD63","RPs144B","RP",0.587214152961368,"***","CD63 ***"
"317","CD63","RPs097B","MP",0.221539468514652,"***","CD63 ***"
"318","CD63","RPs097B","RP",0.598659454139049,"***","CD63 ***"
"319","CD63","RPs098B","MP",0.373132505156097,"***","CD63 ***"
"320","CD63","RPs098B","RP",0.855055160501844,"***","CD63 ***"
"321","CD63","RPs103B","MP",0.254552572252152,"***","CD63 ***"
"322","CD63","RPs103B","RP",0.796620707918923,"***","CD63 ***"
"323","CD63","RPS111B","MP",0.287460561372764,"***","CD63 ***"
"324","CD63","RPS111B","RP",0.784399659018047,"***","CD63 ***"
"325","CD63","RPS136B","MP",0.204700476015145,"***","CD63 ***"
"326","CD63","RPS136B","RP",0.583249066405026,"***","CD63 ***"
"327","CD63","RPs150B","MP",0.220357299305897,"***","CD63 ***"
"328","CD63","RPs150B","RP",0.66357422387837,"***","CD63 ***"
"329","CD63","RPs154B","MP",0.174305510367551,"***","CD63 ***"
"330","CD63","RPs154B","RP",0.547960922224174,"***","CD63 ***"
"331","CD69","RPs137B","MP",1.61651724843381,"***","CD69 ***"
"332","CD69","RPs137B","RP",2.22665957579269,"***","CD69 ***"
"333","CD69","RPs138B","MP",1.7483336873311,"***","CD69 ***"
"334","CD69","RPs138B","RP",2.52166410021963,"***","CD69 ***"
"335","CD69","RPs139B","MP",1.73273120880282,"***","CD69 ***"
"336","CD69","RPs139B","RP",2.45231584313121,"***","CD69 ***"
"337","CD69","RPs144B","MP",1.11125681379248,"***","CD69 ***"
"338","CD69","RPs144B","RP",1.74719009727951,"***","CD69 ***"
"339","CD69","RPs097B","MP",2.07314513903397,"***","CD69 ***"
"340","CD69","RPs097B","RP",2.75881494374211,"***","CD69 ***"
"341","CD69","RPs098B","MP",1.78673321477362,"***","CD69 ***"
"342","CD69","RPs098B","RP",2.47460658846917,"***","CD69 ***"
"343","CD69","RPs103B","MP",1.61564202520203,"***","CD69 ***"
"344","CD69","RPs103B","RP",2.2153491713436,"***","CD69 ***"
"345","CD69","RPS111B","MP",2.15153313711378,"***","CD69 ***"
"346","CD69","RPS111B","RP",2.95261515434727,"***","CD69 ***"
"347","CD69","RPS136B","MP",1.84033217681985,"***","CD69 ***"
"348","CD69","RPS136B","RP",2.55237606163905,"***","CD69 ***"
"349","CD69","RPs150B","MP",1.60671553297345,"***","CD69 ***"
"350","CD69","RPs150B","RP",2.32492836196567,"***","CD69 ***"
"351","CD69","RPs154B","MP",1.43896130401153,"***","CD69 ***"
"352","CD69","RPs154B","RP",2.1530364945443,"***","CD69 ***"
"353","CD9","RPs137B","MP",3.89612760171482,"***","CD9 ***"
